Job Title,Unique Postings from Jan 2019 - Jan 2020
Unclassified,159
Software Developers,154
PHP Developers,127
Software Engineers,112
Web Developers,100
.NET Developers,88
Data Scientists,79
IT Support Engineers,58
Data Engineers,47
IT Support Technicians,44
Front End Developers,44
Full Stack Developers,40
IT Technicians,40
Security Technicians,39
C# Developers,36
Help Desk Analysts,35
Developers,30
JavaScript Developers,29
DevOps Engineers,28
Cybersecurity Directors,27
Solutions Architects,27
Machine Learning Engineers,27
Network Engineers,27
Administrators,27
Java Developers,26
Service Desk Analysts,24
IT Analysts,24
Support Analysts,23
IT Support Analysts,23
Embedded Software Engineers,22
Systems Engineers,22
Help Desk Support Technicians,22
Data Analysts,21
IT Systems Administrators,21
Web Designers,20
.NET Software Developers,19
IT Managers,19
Test Analysts,19
Line Support Engineers,18
Project Managers,18
Technical Support Engineers,17
Software Testers,17
Apprentice Technicians,17
Front End Web Developers,16
C# .NET Developers,16
Lead IT Engineers,16
Business Intelligence Analysts,16
Business Intelligence Developers,15
Lead IT Technicians,15
Lead .NET Developers,15
IT Professionals,14
Infrastructure Systems Engineers,14
IT Help Desk Technicians,14
Mobile Application Developers,14
PHP Web Application Developers,13
IT Project Managers,13
Database Administrators,13
SQL Database Administrators,12
.NET Web Developers,12
Data Architects,12
Computer Vision Engineers,12
Electronic Warfare Analysts,12
JavaScript Application Developers,12
Systems Administrators,12
Cybersecurity Managers,12
Application Support Analysts,11
Support Workers,11
Network Technicians,11
Global Product Development Managers,11
IT Engineers,11
Infrastructure Engineers,11
Software Development Engineers,11
Cybersecurity Engineers,11
Graduate Managers,11
IT Service Desk Analysts,10
Controls Engineers,10
iOS Developers,10
IT Field Engineers,10
IT Support Specialists,10
Testers,10
Social Networking Interns,10
Directors of IT Support,10
IT Systems Managers,9
Software Engineering Managers,9
Lead Data Engineers,9
Data Entry Administrators,9
Desktop Support Engineers,9
Systems Developers,9
Delivery Drivers/Shift Managers,9
Customer Support Technicians,9
Core Network Engineers,9
Network Administrators,9
IT Infrastructure Engineers,9
IT Apprentices,9
Software Developer Engineers,9
Geriatric Nursing Assistants,9
Software Engineers in C,9
Managers/Data Scientists,8
Scrum Masters,8
PHP Full Stack Developers,8
Control Systems Engineers,8
Help Desk Specialists,8
Application Developers,8
Technical Architects,8
Infrastructure Managers,8
Directors of Data Science,8
Database Managers,8
Customer Service Administrators,8
Service Delivery Managers,8
SQL Server Database Administrators,8
Front End JavaScript Developers,8
Dynamics NAV Developers,7
Product Architects,7
Administrator Directors,7
IT Infrastructure Managers,7
Infrastructure Technicians,7
5th Grade Teachers,7
Windows Support Engineers,7
Database Developers,7
Business Systems Developers,7
Web Analysts,7
Graduate Engineers,7
Service Desk Technicians,7
Software Architects,7
Data Administrators,7
IT Developers,7
Engineers,7
C++ Developers,7
Lead Developers,7
Web Testers,7
Juniper Network Engineers,7
Vulnerability Analysts,7
Business Administrators,6
ASP.NET Software Developers,6
C++ Software Engineers,6
MySQL Database Administrators,6
Headquarter Company Commanders,6
